"identifiantUnique","nombreAbonnes"
"UCJrDMFOdv1I2k8n9oK_V21w",64800000
"UCSJWlswfVUgyVliZaEFoaBw",2200000
"UC-1iOXYWHUFIlb0KN_ZngIA",242000
"UC1a2ZCw7tugRZYRMnecNj3A",25900000
"UCBgcPSn61UQ4l_-FvcEgLQA",397000
"UCo5E9pEhK_9kWG7-5HHcyRg",1220000
"UCprdnsJISifP1nTeB-iRi1g",133000
"UCKsX_rz4FJnkvJdj9qf_0gA",25200
"UC5b53RDbJ83KiSPXTew3Smw",35000
"UC1VLQPn9cYSqx8plbk9RxxQ",4670000
"UCPvCJCsTh0frVzrIo5Np8Mg",882000
"UCQfDCLyWEHMV3ERhD0au0Ug",21100
"UC3-hlzD0BnpDIJFz4-5kCNQ",545000
"UCNFT_eq_QCApMEwCACHto9Q",3030000
"UC_vFLohxs5PkAxlk7Y6jEtw",766000
"UCVRm2Ho8cL3lvWDyp2ayuFw",2360000
"UCRFSF9WS_g0wqm32kjJ-jNw",952000
"UChDKyKQ59fYz3JO2fl0Z6sg",4370000
"UC2hm5rD_IrfYRMfq5YQudgA",5920000
"UC9o6nWNu38SRdBYPlPcdTpA",52800
"UCQJWtTnAHhEG5w4uN0udnUQ",3410000
"UClkv4dVJ1ZdRL4Bm6khAv_g",90600
"UC8wXC0ZCfGt3HaVLy_fdTQw",1200000
"UCbFmRo8-Vk7t4U8ctZQCguw",102000
"UCTIyEyDNHPrwVFPhpi5dm0A",4720000
"UCqVE6Z1YI3CyAya6hrd3ORg",263000
"UC2JSgw37hwXBA-4PVeVlwAg",35900
"UCRijo3ddMTht_IHyNSNXpNQ",60100000
"UCnfuDig-Ngnqf5CFgZA3SVw",689000
"UC5fkmrA5VDTr2IU7lPmpsHA",1330000
"UCvOQjqSvZXdOLTXGgb5tVwA",101000
"UCpXLDGcGtqkC7MIF5sKYU0w",3900000
"UCMiJRAwDNSNzuYeN2uWa0pA",18300000
"UCgEo1zXlYoUvL9btrdR9Csg",694000
"UCt0JEQtkyzfk70DQ-NHtosw",1050000
"UCBi2mrWuNuyYy4gbM6fU18Q",16400000
"UCxsgMdJZBg66Db4PlkNgjBA",37700
"UClFmbs3Ox9z0iPOW8rkxmOg",924000
"UCMtFAi84ehTSYSE9XoHefig",9280000
"UC2wdo5vU7bPBNzyC2nnwmNQ",757000
"UC3Pykv85ZlM1oLK863qUslg",957000
"UCL3NxDW438nOlKZcsKe_SiQ",291000
"UC1QaR_W91YA9YCN5ZUH9JJA",49200
"UC2bW_AY9BlbYLGJSXAbjS4Q",9290000
"UCVCT1j6axPfLlhXkICzOhMQ",714000
"UCQgDbnPdvfmuXPZycHFalng",809000
"UC4HjlK913jACgJogyrISS6w",610000
"UC_Z4iQnnTphiuypqe_qY4_Q",460000
"UC3NJVkGUkPwvWwWpQG-67Ag",3150000
"UC56D-IHcUvLVFTX_8NpQMXg",30200000
"UC3J8xJlyM--stae4i2SPkaw",62400
"UCbabUTCLH4kSJnoFl5RhbtA",836000
